ABEV3;Consumo Não Cíclico;Cervejas e Refrigerantes;Consumo não Cíclico / Bebidas / Cervejas e Refrigerantes;Fabricação E Distribuição de Cervejas. Refrigerantes E Bebidas Não Carbonatadas E Não Alcoólicas.;Ambev S.A.
ALPA3;Consumo Cíclico;Calçados;Consumo Cíclico / Tecidos. Vestuário e Calçados / Calçados;Indústria E Comércio de Calçados E Artigos Esportivos;Alpargatas S.A.
BAZA3;Financeiro;Bancos;Financeiro / Intermediários Financeiros / Bancos;Banco;Banco da Amazônia S.A.
BBAS3;Financeiro;Bancos;Financeiro / Intermediários Financeiros / Bancos;Banco Múltiplo;Banco do Brasil S.A.
BEES3;Financeiro;Bancos;Financeiro / Intermediários Financeiros / Bancos;Intermediação Financeira Inerente Aos Bancos Múltiplos Por Meio Das Carteiras Autorizadas. Inclusive Operações de Câmbio.;Banestes S.A - Banco do Estado do Espírito Santo
BMKS3;Consumo Cíclico;Bicicletas;Consumo Cíclico / Viagens e Lazer / Bicicletas;Fabricação E Comercialização de Bicicletas;Bicicletas Monark S.A.
BRAP4;Financeiro;Gestão de ativos;Materiais Básicos / Mineração / Minerais Metálicos;Participação Como Sócia Ou Acionista de Outras Sociedades.;Bradespar S.A.
BRKM3;Materiais Básicos;Produtos químicos;Materiais Básicos / Químicos / Petroquímicos;"Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros;prestação de Serviços Industriais;participação em Outras Sociedades;locação de Bens; Representação/consignação de Produtos Químicos";Braskem S.A.
BRKM5;Materiais Básicos;Produtos químicos;Materiais Básicos / Químicos / Petroquímicos;"Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros;prestação de Serviços Industriais;participação em Outras Sociedades;locação de Bens; Representação/consignação de Produtos Químicos";Braskem S.A.
BTOW3;Consumo Cíclico;Varejo na Internet;Consumo Cíclico / Comércio / Produtos Diversos;Comércio Varejista E Atacadista em Geral de Quaisquer Bens E Serviços Através de Diversos Meios. em Especial Da Internet. Sem Restrição A Outros Meios.;B2W - Companhia Digital 
CARD3;Financeiro;Serviços de Crédito;Bens Industriais / Serviços / Serviços Diversos;Terceirização em Administração E Processamento de Meios Eletrónicos de Pagamento. Infraestrutura E Gestão em Terceirização de Contact Center. Desenvolvimento E Gestão Operacional de Programas Market;CSU Cardsystem S.A.
CBEE3;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Distribuição de Energia Elétrica;Ampla Energia e Serviços S.A. 
CCPR3;Imobiliária;Exploração de Imóveis;Financeiro / Exploração de Imóveis / Exploração de Imóveis;Incorporação de Empreendimentos Imobiliários;Cyrela Commercial Properties S.A.
CCRO3;Bens Industriais;Exploração de Rodovias;Bens Industriais / Transporte / Exploração de Rodovias;Prestadora de Serviços Públicos Por Meio de Concessões Rodoviária. Metroviária E Aeroportuária. Além de Prestação de Serviços de Meio de Pagamentos E Outros.;CCR S.A.
CESP3;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Geração E Comercialização de Energia Elétrica;CESP - Companhia Energética de São Paulo
CESP6;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Geração E Comercialização de Energia Elétrica;CESP - Companhia Energética de São Paulo
CGAS3;Utilidade Pública;Gás;Utilidade Pública / Gás / Gás;Distribuição de Gás Natural Canalizado;Companhia de Gás de São Paulo - COMGAS
CGAS5;Utilidade Pública;Gás;Utilidade Pública / Gás / Gás;Distribuição de Gás Natural Canalizado;Companhia de Gás de São Paulo - COMGAS
CMIG3;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Concessionária de Serviço Público de Energia Elétrica.;Companhia Energética de Minas Gerais
CMIG4;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Concessionária de Serviço Público de Energia Elétrica.;Companhia Energética de Minas Gerais
COCE5;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Distribuição de Energia Elétrica;Companhia Energética do Ceara
CPFE3;Utilidade Pública;Energia Elétrica;Utilidade Pública / Energia Elétrica / Energia Elétrica;Gestão de Participações Societárias (holdings);CPFL Energia S.A.
